央视(电信),#genre#
江西卫视,http://113.65.9.28:4014/rtp/239.77.1.73:5146
江西卫视,http://113.65.9.140:4014/rtp/239.77.1.73:5146
湖北卫视,http://61.146.189.245:8888/rtp/239.77.1.44:5146
湖北卫视,http://120.237.116.125:8888/rtp/239.77.1.44:5146
湖北卫视,http://120.238.99.51:8888/rtp/239.77.1.44:5146
湖北卫视,http://125.93.111.69:8888/rtp/239.77.1.44:5146
湖北卫视,http://222.125.242.74:8888/rtp/239.77.1.44:5146
湖北卫视,http://113.65.9.2:4014/rtp/239.77.1.44:5146
湖北卫视,http://113.65.9.28:4014/rtp/239.77.1.44:5146
湖北卫视,http://113.65.9.140:4014/rtp/239.77.1.44:5146
辽宁卫视,http://61.146.189.245:8888/rtp/239.77.1.62:5146
辽宁卫视,http://120.237.116.125:8888/rtp/239.77.1.62:5146
辽宁卫视,http://120.238.99.51:8888/rtp/239.77.1.62:5146
辽宁卫视,http://125.93.111.69:8888/rtp/239.77.1.62:5146
辽宁卫视,http://222.125.242.74:8888/rtp/239.77.1.62:5146
辽宁卫视,http://113.65.9.2:4014/rtp/239.77.1.62:5146
辽宁卫视,http://113.65.9.28:4014/rtp/239.77.1.62:5146
辽宁卫视,http://113.65.9.140:4014/rtp/239.77.1.62:5146
辽宁卫视 ,http://61.146.189.245:8888/rtp/239.77.0.123:5146
辽宁卫视 ,http://120.237.116.125:8888/rtp/239.77.0.123:5146
辽宁卫视 ,http://120.238.99.51:8888/rtp/239.77.0.123:5146
辽宁卫视 ,http://125.93.111.69:8888/rtp/239.77.0.123:5146
辽宁卫视 ,http://222.125.242.74:8888/rtp/239.77.0.123:5146
辽宁卫视 ,http://113.65.9.2:4014/rtp/239.77.0.123:5146
辽宁卫视 ,http://113.65.9.28:4014/rtp/239.77.0.123:5146
辽宁卫视 ,http://113.65.9.140:4014/rtp/239.77.0.123:5146
辽宁卫视 ),http://61.146.189.245:8888/rtp/239.77.0.161:5146
辽宁卫视 ),http://120.237.116.125:8888/rtp/239.77.0.161:5146
辽宁卫视 ),http://120.238.99.51:8888/rtp/239.77.0.161:5146
辽宁卫视 ),http://125.93.111.69:8888/rtp/239.77.0.161:5146
辽宁卫视 ),http://222.125.242.74:8888/rtp/239.77.0.161:5146
辽宁卫视 ),http://113.65.9.2:4014/rtp/239.77.0.161:5146
辽宁卫视 ),http://113.65.9.28:4014/rtp/239.77.0.161:5146
辽宁卫视 ),http://113.65.9.140:4014/rtp/239.77.0.161:5146
黑龙江卫视,http://61.146.189.245:8888/rtp/239.77.1.71:5146
黑龙江卫视,http://120.237.116.125:8888/rtp/239.77.1.71:5146
黑龙江卫视,http://120.238.99.51:8888/rtp/239.77.1.71:5146
黑龙江卫视,http://125.93.111.69:8888/rtp/239.77.1.71:5146
黑龙江卫视,http://222.125.242.74:8888/rtp/239.77.1.71:5146
黑龙江卫视,http://113.65.9.2:4014/rtp/239.77.1.71:5146
黑龙江卫视,http://113.65.9.28:4014/rtp/239.77.1.71:5146
黑龙江卫视,http://113.65.9.140:4014/rtp/239.77.1.71:5146
贵州卫视,http://61.146.189.245:8888/rtp/239.77.1.61:5146
贵州卫视,http://120.237.116.125:8888/rtp/239.77.1.61:5146
贵州卫视,http://120.238.99.51:8888/rtp/239.77.1.61:5146
贵州卫视,http://125.93.111.69:8888/rtp/239.77.1.61:5146
贵州卫视,http://222.125.242.74:8888/rtp/239.77.1.61:5146
